rank,MOF_Name,predicted_benzene_adsorption,predicted_toluene_adsorption,mean_predicted_adsorption,min_predicted_adsorption,benzene_percentile,toluene_percentile,balanced_score,min_percentile
1,FIGXEY_clean-(id:170053),896.440014342414,1205.1506,1050.7953245540195,896.440014342414,0.9999907966990828,0.9999846611651378,0.9999877289226989,0.9999846611651378
2,FIGXEY_clean-(id:176420),896.440014342414,1205.1506,1050.7953245540195,896.440014342414,0.9999907966990828,0.9999846611651378,0.9999877289226989,0.9999846611651378
3,FIGXAU_clean-(id:170051),896.440014342414,1205.1176,1050.7787840266758,896.440014342414,0.9999907966990828,0.9999723900972483,0.999981593313463,0.9999723900972483
4,FIGXAU_clean-(id:176418),896.440014342414,1205.1176,1050.7787840266758,896.440014342414,0.9999907966990828,0.9999723900972483,0.999981593313463,0.9999723900972483
5,CICYIX_clean-(id:169516),828.1705542247093,1217.896,1023.0332751592296,828.1705542247093,0.9999662545633033,0.9999969322330275,0.9999815931628813,0.9999662545633033
6,CICYIX_clean-(id:174947),828.1705542247093,1217.896,1023.0332751592296,828.1705542247093,0.9999662545633033,0.9999969322330275,0.9999815931628813,0.9999662545633033
7,ja4012707_si_003_clean-(id:178214),830.9406360231554,1134.5918,982.7662164490778,830.9406360231554,0.9999754578642206,0.9999509157284413,0.9999631866457462,0.9999509157284413
8,UHISOU_clean-(id:172357),762.6947448944732,1202.5768,982.6357635605178,762.6947448944732,0.999904899223855,0.9999601190293586,0.9999325083642486,0.999904899223855
9,UHISOU_clean-(id:183028),762.6947448944732,1202.5768,982.6357635605178,762.6947448944732,0.999904899223855,0.9999601190293586,0.9999325083642486,0.999904899223855
10,LUFQUZ02_clean-(id:179362),764.1207927948662,1059.5502,911.835481846652,764.1207927948662,0.9999294413596344,0.9994263275761573,0.999677821166636,0.9994263275761573
11,LUFQUZ02_clean-(id:171008),764.1207927948662,1059.5502,911.835481846652,764.1207927948662,0.9999294413596344,0.9994263275761573,0.999677821166636,0.9994263275761573
12,AHOKIR01_clean-(id:169170),763.4520659120866,1053.2465,908.349262936512,763.4520659120866,0.9999171702917447,0.9993895143724882,0.9996532727027868,0.9993895143724882
13,AHOKIR01_clean-(id:174012),763.4520659120866,1053.2465,908.349262936512,763.4520659120866,0.9999171702917447,0.9993895143724882,0.9996532727027868,0.9993895143724882
14,hMOF-5059193-(id:118204),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
15,hMOF-5059154-(id:118163),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
16,hMOF-5059132-(id:163777),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
17,hMOF-5059324-(id:163875),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
18,hMOF-5059232-(id:118226),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
19,hMOF-5059309-(id:163866),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
20,hMOF-5059138-(id:163783),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
21,hMOF-5059157-(id:118158),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
22,hMOF-5059187-(id:118199),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
23,hMOF-5059276-(id:118249),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
24,hMOF-5059330-(id:118263),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
25,hMOF-5059223-(id:118220),723.2169154788551,1084.398,903.8074323488024,723.2169154788551,0.9994570052458815,0.999751510875234,0.999604236368582,0.9994570052458815
26,hMOF-5034155-(id:93898),720.0786982059022,1091.5992,905.8389706849824,720.0786982059022,0.9993005491302881,0.9998895603889929,0.9995949679909383,0.9993005491302881
27,hMOF-5033982-(id:163038),720.0786982059022,1091.5992,905.8389706849824,720.0786982059022,0.9993005491302881,0.9998895603889929,0.9995949679909383,0.9993005491302881
28,hMOF-5034152-(id:93895),720.0786982059022,1091.5992,905.8389706849824,720.0786982059022,0.9993005491302881,0.9998895603889929,0.9995949679909383,0.9993005491302881
29,hMOF-5033994-(id:93808),720.0786982059022,1091.5992,905.8389706849824,720.0786982059022,0.9993005491302881,0.9998895603889929,0.9995949679909383,0.9993005491302881
30,hMOF-5034075-(id:93856),720.0786982059022,1091.5992,905.8389706849824,720.0786982059022,0.9993005491302881,0.9998895603889929,0.9995949679909383,0.9993005491302881
31,hMOF-5034097-(id:93870),720.0786982059022,1091.5992,905.8389706849824,720.0786982059022,0.9993005491302881,0.9998895603889929,0.9995949679909383,0.9993005491302881
