adsorbate,dominant_metal,n_train,n_test,model,status,r2,rmse,mae
toluene,Ho,990,10,XGBoost,evaluated,0.9985795235822372,5.73619977391721,4.299664592480471
toluene,Li,991,9,XGBoost,evaluated,0.8554909690674686,61.399267385434555,52.62175332204861
toluene,V,991,9,XGBoost,evaluated,0.9816178342659058,25.468619594431924,18.28194761026474
toluene,Yb,992,8,XGBoost,evaluated,0.9870517401621632,10.132253827406583,7.389346779589847
toluene,Tm,993,7,XGBoost,evaluated,0.9970751847228256,4.892299264513923,3.2553067492466545
toluene,Na,993,7,XGBoost,evaluated,0.9304816763823767,22.177739934508207,19.719127302762278
toluene,Mo,994,6,XGBoost,evaluated,0.8361460210190933,32.39787285311584,30.30557107744141
toluene,U,995,5,XGBoost,evaluated,0.32124550049470035,48.657642470263994,42.62878185785937
toluene,K,996,4,XGBoost,evaluated,0.9647052410193449,36.52310890096964,27.991834858593755
toluene,Ru,996,4,XGBoost,evaluated,-8.119622444320859,13.144318901647203,12.670097945068356
toluene,Al,996,4,XGBoost,evaluated,-0.05192046007071971,110.10792891608878,95.24446717070316
toluene,Lu,996,4,XGBoost,evaluated,0.8298302593047391,4.904539894451278,3.977784791943364
toluene,Ga,997,3,XGBoost,evaluated,-0.2468770348462126,143.4206430871548,124.37755409140625
toluene,Cr,998,2,XGBoost,evaluated,-180.99895414925706,6.66368345549028,4.740970880957036
toluene,Ti,999,1,XGBoost,evaluated,,,
toluene,Hf,999,1,XGBoost,evaluated,,,
toluene,Sn,999,1,XGBoost,evaluated,,,
toluene,Rh,999,1,XGBoost,evaluated,,,
toluene,Pd,999,1,XGBoost,evaluated,,,
toluene,Pu,999,1,XGBoost,evaluated,,,
toluene,Sc,999,1,XGBoost,evaluated,,,
toluene,Np,999,1,XGBoost,evaluated,,,
toluene,In,999,1,XGBoost,evaluated,,,
