adsorbate,model,scope,n_groups,weighted_r2,mean_r2,weighted_rmse,weighted_mae
benzene,GradientBoosting,all_evaluated,41,0.3414678930724819,-2.974372437163937,21.57683308302766,13.384556225921532
benzene,GradientBoosting,n_test_ge_20,15,0.9619017945883411,0.966300143786151,19.581928749781408,11.45711348885763
toluene,XGBoost,all_evaluated,35,0.5505661526255009,-4.588626154701512,26.647902122306373,15.877955844250344
toluene,XGBoost,n_test_ge_20,14,0.9709934149495133,0.9728522639509668,26.17673233904563,14.301046991317035
