filename,Benzene adsorption(mg/g)
UXUZAP,228.2040725
GAJZUO,227.6759669
QUFFED,226.1742745
MIMVEJ,226.0637995
BIHMUC,225.7935192
PAPRUU,225.704518
EMIYEF,224.2579027
NERVEL,224.2234021
NIKDAM,223.366154
OKINIG,223.2606663
MUVGUG,222.1946435
VURYIR,221.5408606
XIDBUJ,221.2769898
WEFXEM,221.2401046
NEJSOM,219.5445071
ODIXEG,218.9304527
EZABEN,217.2625643
OXAZIX,215.9714462
PAMHES,215.6415361
DACYAI,215.4799017
LUFNAC,215.2030981
DEJRUH,215.0056532
TONQOD,214.7998516
FIJDIM,214.1635671
AHUTIH,214.0230159
ZASJAG,213.623408
RACZEC,213.3551911
MAHTAR,212.9671071
RAXYOF,210.9531613
UWELIS,210.7117213
QATRAG,210.639836
HEBJAB,210.0678541
TIRRIW,209.8156304
LAGNOY,208.8209461
YURKAY,208.244803
HURQUG,208.0684003
CUKVUA,207.8994267
UZATAR,207.7591689
RAZGOQ,207.5601982
VAZLIT,207.4856132
GELVID,206.8641648
ZIKJOU,205.9169486
LASWEJ,205.6793643
XEHSAF,205.5697414
OMEWUZ,205.4979677
HIBGEF,205.1642014
GIRDUI,205.0565175
XEHSIN,205.0034614
WECFAN,204.862725
DOQGUM,204.5188381
CERMIV,204.4968034
MUFHUR,204.3827746
DOQHAT,203.7726513
LIDZUV,203.1750448
QUQPUO,202.9477702
DEQFOU,202.1588368
MAYYAN,201.6103153
NEDWAW,201.3438317
DOQHIB,201.2718046
VIPXUO,201.0888844
VICDOC,200.5943431
BEPLUF,200.4458009
LALPOF,200.2599529
DAJHUS,200.0593708
FUTCAZ,199.6876165
NATXIR,199.679006
PEYPIU,198.9560527
PIHNUQ,198.9315731
BARZUR,198.6421172
XAWVUN,198.207547
KETHEY,197.8344727
WUWQEL,197.711082
DOQHOH,197.6605915
RAPYUE,197.6386919
SEHSUU,197.433691
OPAPEB,197.3526721
MITGOL,197.1420489
MAZJEC,196.8569618
GIQZIQ,196.7498933
RUVKAV,196.6171878
YUCNEQ,196.436977
KOMGUP,195.9649499
FATLUJ,195.6055138
NUTQAV,195.401257
GAJYUN,195.3670613
SETSIV,195.2597727
GAJZAU,194.9393884
SADLIU,194.581634
MOCKAR,194.5760906
MITGIF,194.2426818
DUBWON,193.9397695
MOCKEV,193.7739357
IBITUK,193.6605557
LIWXIZ,193.4106833
QIVBUT,192.511895
VAZTOG,192.2608575
CIFMEL,192.1829654
NEDWIE,192.1525369
NEDWEA,192.0572312
MUFJED,191.9841799
FOHQUO,191.9715277
GAYFUJ,191.8873553
AFOYOK,191.7343411
IZEHAX,191.5722716
CUCSAU,191.4290449
ILOTOT,191.0500285
MIVPAJ,190.9192396
COXQUB,189.9265919
SEYFAE,189.2982098
XIPTEW,189.247651
GIQYEL,188.9507182
AFUPEX,188.5907797
GUXPOF,188.5641685
AQODOA,188.5596701
CAKXOD,188.5135676
OVICUS,188.1542183
WEWTOI,188.0318912
RICHIV,188.0207622
XIPTAS,188.0192227
CUYYAX,187.9085475
HORCUN,187.0278892
PECMOB,186.9345301
GAJZOI,186.5134984
EZUCIM,186.3656897
MOGVAG,186.2542589
WOGLAG,186.0998485
SEYFEI,185.8313619
CAKYAQ,185.8207003
NASMIF,185.7160363
CIJVOH,185.672113
MIVPEN,184.9945844
YEZKEV,184.9059311
YERJEL,184.8186295
XOVPON,184.7516292
CAKYEU,184.5987574
VIPZAX,184.5241879
BUVXOG,184.5031781
EDOMAM,184.3394841
CUKYAJ,184.2929249
SARNOQ,184.1935952
LAVTUZ,183.964514
CAKYIY,183.4429039
IDAGUR,183.2454531
COWMIL,183.0811012
RABHIH,183.072562
MARXEK,183.0316428
MIVPIR,182.999439
GIQYAH,182.5862303
GIKMOD,182.2394758
MIVNUB,182.0762627
GIQXOU,182.0376031
COWMOR,181.9438465
LAWGEW,181.6437375
BEPPOD,181.3855986
COWMUX,181.13436
GAMTUK,180.8144824
BEPPIX,180.7483372
MICNES,179.9947244
JETZAK,179.8786425
GIQYOV,179.7922763
TEBFUD,179.6293635
QUTTII,179.2880763
KIYMIQ,179.1935746
VOTMAS,178.6983662
LIDZOP,178.4305348
SETWOF,177.6587574
ECODIK,177.4079496
MULXOH,177.4036422
XOVVEK,177.3088343
KIFKEQ,176.2246425
BEPMIU,176.210394
XAPTUE,174.9083073
HOYTUL,174.8278851
SETWUL,174.7051496
WASNOU,174.5372003
BEXSAA,174.3973893
ZIHTEP,174.3784595
ECOLEP,172.9442191
UMEXUF,172.9169772
KALGAH,172.9112623
WIYFAM,172.4912068
