adsorbate,model,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
benzene,GradientBoosting,0.9537184983383435,0.011306312277762746,24.80445959408453,3.1689924317684635,12.594018059235008,0.6745163755298934
toluene,XGBoost,0.9679688173363136,0.021172078632436548,26.839066207474758,7.793351958715422,12.527451335463827,2.162911021635101
