adsorbate,cv,model,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
benzene,GroupKFold,GradientBoosting,0.9426199829626949,0.02334740885636389,26.889994776622075,7.716199368633909,14.276261215536731,2.3512268030878767
benzene,KFold,GradientBoosting,0.9542460079546389,0.011172902367278952,24.755260580209136,3.829924261514617,12.236832243159757,0.5871617057551647
toluene,GroupKFold,XGBoost,0.9633349862613259,0.014249046394900062,30.315237424983632,7.880770438431767,16.733841244148476,3.1612002060822952
toluene,KFold,XGBoost,0.9707534305999221,0.010991608635587796,27.57448542610872,6.32764651473309,13.000079122601758,1.7415862118110221
